epoch,loss,accuracy,percision,recall,f1_score
1,0.6113621606068178,0.8257898473553426,,0.0,
2,0.5714373983766722,0.8257898473553426,,0.0,
3,0.5728285843911378,0.8257898473553426,,0.0,
4,0.5240169734908984,0.8257898473553426,,0.0,
5,0.5548151020299305,0.8257898473553426,,0.0,
6,0.5283366164990834,0.8257898473553426,,0.0,
7,0.542224292755127,0.8257898473553426,,0.0,
8,0.5330684523690831,0.8257898473553426,,0.0,
9,0.5096509932052522,0.8257898473553426,,0.0,
10,0.5019515632436826,0.17474263400780973,0.1741872446260437,0.9989811512990321,0.29664927010059755
11,0.4876143854856491,0.8372381966631168,1.0,0.06571574121242996,0.12332695984703632
12,0.5261206105351448,0.82596734114306,1.0,0.0010188487009679063,0.002035623409669211
13,0.46897475692358886,0.19116080937167199,0.17721404712467276,1.0,0.3010736196319018
14,0.38579733641101766,0.17421015264465745,0.17421015264465745,1.0,0.2967273826619304
15,0.5043815557534496,0.8257898473553426,,0.0,
16,0.45077423870563504,0.19116080937167199,0.17721404712467276,1.0,0.3010736196319018
17,0.4273621988567439,0.17421015264465745,0.17421015264465745,1.0,0.2967273826619304
18,0.3535996899008751,0.9219027334043308,0.8194690265486726,0.7075904228222109,0.7594313832695462
19,0.31370861627734625,0.9258075967341143,0.8502175264139217,0.6968925114620479,0.7659574468085107
20,0.31260915705934167,0.9310436634717785,0.8624694376528117,0.7187977585328579,0.784106696304529
